state,ac_pct_2022,ac_pct_2019,ac_growth_pct_points,ac_growth_relative,ac_category,region
RO,35.2,28.5,6.700000000000003,23.508771929824572,High (30-40%),North
AC,28.4,22.1,6.299999999999997,28.50678733031673,Medium (20-30%),North
AM,42.1,35.8,6.300000000000004,17.597765363128502,Very High (>40%),North
RR,38.5,32.4,6.100000000000001,18.827160493827165,High (30-40%),North
PA,29.8,24.2,5.600000000000001,23.1404958677686,Medium (20-30%),North
AP,31.2,26.5,4.699999999999999,17.73584905660377,High (30-40%),North
TO,22.5,18.2,4.300000000000001,23.62637362637363,Medium (20-30%),North
MA,18.3,14.5,3.8000000000000007,26.20689655172414,Low (<20%),Northeast
PI,15.2,11.8,3.3999999999999986,28.813559322033882,Low (<20%),Northeast
CE,21.4,17.2,4.199999999999999,24.418604651162788,Medium (20-30%),Northeast
RN,26.8,22.1,4.699999999999999,21.26696832579185,Medium (20-30%),Northeast
PB,19.5,15.8,3.6999999999999993,23.417721518987335,Low (<20%),Northeast
PE,24.3,20.5,3.8000000000000007,18.53658536585366,Medium (20-30%),Northeast
AL,17.2,13.8,3.3999999999999986,24.63768115942028,Low (<20%),Northeast
SE,20.1,16.4,3.700000000000003,22.560975609756117,Medium (20-30%),Northeast
BA,16.8,13.2,3.6000000000000014,27.272727272727288,Low (<20%),Northeast
MG,17.5,14.2,3.3000000000000007,23.239436619718315,Low (<20%),Southeast
ES,22.8,18.5,4.300000000000001,23.243243243243246,Medium (20-30%),Southeast
RJ,38.2,33.5,4.700000000000003,14.029850746268666,High (30-40%),Southeast
SP,32.5,28.2,4.300000000000001,15.248226950354612,High (30-40%),Southeast
PR,28.4,24.2,4.199999999999999,17.355371900826444,Medium (20-30%),South
SC,25.2,21.5,3.6999999999999993,17.20930232558139,Medium (20-30%),South
RS,31.5,27.8,3.6999999999999993,13.309352517985609,High (30-40%),South
MS,35.8,30.2,5.599999999999998,18.543046357615886,High (30-40%),Central-West
MT,38.2,32.5,5.700000000000003,17.538461538461547,High (30-40%),Central-West
GO,28.5,24.2,4.300000000000001,17.768595041322317,Medium (20-30%),Central-West
DF,42.1,38.5,3.6000000000000014,9.350649350649354,Very High (>40%),Central-West
