date,holiday_name_pt,year,month,day,day_of_week,holiday_type,is_holiday
2010-01-01,Universal Fraternization Day,2010,1,1,Friday,civic,1
2010-02-13,Sábado de Carnaval,2010,2,13,Saturday,carnival,1
2010-02-14,Domingo de Carnaval,2010,2,14,Sunday,carnival,1
2010-02-15,Segunda-feira de Carnaval,2010,2,15,Monday,carnival,1
2010-02-16,Terça-feira de Carnaval,2010,2,16,Tuesday,carnival,1
2010-04-02,Good Friday,2010,4,2,Friday,civic,1
2010-04-21,Tiradentes' Day,2010,4,21,Wednesday,civic,1
2010-05-01,Worker's Day,2010,5,1,Saturday,civic,1
2010-09-07,Independence Day,2010,9,7,Tuesday,civic,1
2010-10-12,Our Lady of Aparecida,2010,10,12,Tuesday,civic,1
2010-11-02,All Souls' Day,2010,11,2,Tuesday,civic,1
2010-11-15,Republic Proclamation Day,2010,11,15,Monday,civic,1
2010-12-25,Christmas Day,2010,12,25,Saturday,civic,1
2011-01-01,Universal Fraternization Day,2011,1,1,Saturday,civic,1
2011-03-05,Sábado de Carnaval,2011,3,5,Saturday,carnival,1
2011-03-06,Domingo de Carnaval,2011,3,6,Sunday,carnival,1
2011-03-07,Segunda-feira de Carnaval,2011,3,7,Monday,carnival,1
2011-03-08,Terça-feira de Carnaval,2011,3,8,Tuesday,carnival,1
2011-04-21,Tiradentes' Day,2011,4,21,Thursday,civic,1
2011-04-22,Good Friday,2011,4,22,Friday,civic,1
2011-05-01,Worker's Day,2011,5,1,Sunday,civic,1
2011-09-07,Independence Day,2011,9,7,Wednesday,civic,1
2011-10-12,Our Lady of Aparecida,2011,10,12,Wednesday,civic,1
2011-11-02,All Souls' Day,2011,11,2,Wednesday,civic,1
2011-11-15,Republic Proclamation Day,2011,11,15,Tuesday,civic,1
2011-12-25,Christmas Day,2011,12,25,Sunday,civic,1
2012-01-01,Universal Fraternization Day,2012,1,1,Sunday,civic,1
2012-02-18,Sábado de Carnaval,2012,2,18,Saturday,carnival,1
2012-02-19,Domingo de Carnaval,2012,2,19,Sunday,carnival,1
2012-02-20,Segunda-feira de Carnaval,2012,2,20,Monday,carnival,1
2012-02-21,Terça-feira de Carnaval,2012,2,21,Tuesday,carnival,1
2012-04-06,Good Friday,2012,4,6,Friday,civic,1
2012-04-21,Tiradentes' Day,2012,4,21,Saturday,civic,1
2012-05-01,Worker's Day,2012,5,1,Tuesday,civic,1
2012-09-07,Independence Day,2012,9,7,Friday,civic,1
2012-10-12,Our Lady of Aparecida,2012,10,12,Friday,civic,1
2012-11-02,All Souls' Day,2012,11,2,Friday,civic,1
2012-11-15,Republic Proclamation Day,2012,11,15,Thursday,civic,1
2012-12-25,Christmas Day,2012,12,25,Tuesday,civic,1
2013-01-01,Universal Fraternization Day,2013,1,1,Tuesday,civic,1
2013-02-09,Sábado de Carnaval,2013,2,9,Saturday,carnival,1
2013-02-10,Domingo de Carnaval,2013,2,10,Sunday,carnival,1
2013-02-11,Segunda-feira de Carnaval,2013,2,11,Monday,carnival,1
2013-02-12,Terça-feira de Carnaval,2013,2,12,Tuesday,carnival,1
2013-03-29,Good Friday,2013,3,29,Friday,civic,1
2013-04-21,Tiradentes' Day,2013,4,21,Sunday,civic,1
2013-05-01,Worker's Day,2013,5,1,Wednesday,civic,1
2013-09-07,Independence Day,2013,9,7,Saturday,civic,1
2013-10-12,Our Lady of Aparecida,2013,10,12,Saturday,civic,1
2013-11-02,All Souls' Day,2013,11,2,Saturday,civic,1
2013-11-15,Republic Proclamation Day,2013,11,15,Friday,civic,1
2013-12-25,Christmas Day,2013,12,25,Wednesday,civic,1
2014-01-01,Universal Fraternization Day,2014,1,1,Wednesday,civic,1
2014-03-01,Sábado de Carnaval,2014,3,1,Saturday,carnival,1
2014-03-02,Domingo de Carnaval,2014,3,2,Sunday,carnival,1
2014-03-03,Segunda-feira de Carnaval,2014,3,3,Monday,carnival,1
2014-03-04,Terça-feira de Carnaval,2014,3,4,Tuesday,carnival,1
2014-04-18,Good Friday,2014,4,18,Friday,civic,1
2014-04-21,Tiradentes' Day,2014,4,21,Monday,civic,1
2014-05-01,Worker's Day,2014,5,1,Thursday,civic,1
2014-09-07,Independence Day,2014,9,7,Sunday,civic,1
2014-10-12,Our Lady of Aparecida,2014,10,12,Sunday,civic,1
2014-11-02,All Souls' Day,2014,11,2,Sunday,civic,1
2014-11-15,Republic Proclamation Day,2014,11,15,Saturday,civic,1
2014-12-25,Christmas Day,2014,12,25,Thursday,civic,1
2015-01-01,Universal Fraternization Day,2015,1,1,Thursday,civic,1
2015-02-14,Sábado de Carnaval,2015,2,14,Saturday,carnival,1
