state_abbrev,date,pm25_mean_ugm3,pm10_mean_ugm3,o3_column_mean_kgm2,n_grid_cells
AC,2022-01-01,16.104815,22.036997,0.0054826005,24
AC,2022-01-02,19.037998,24.688684,0.0055484814,24
AC,2022-01-03,19.536589,24.608725,0.0056266678,24
AC,2022-01-04,25.87372,31.971903,0.005623754,24
AC,2022-01-05,19.977352,25.049559,0.0056872847,24
AC,2022-01-06,18.06682,23.350317,0.005623368,24
AC,2022-01-07,15.8107195,20.45074,0.0056072627,24
AC,2022-01-08,22.066813,28.626371,0.005584761,24
AC,2022-01-09,24.473936,31.730555,0.005524636,24
AC,2022-01-10,18.558105,24.229118,0.005510448,24
AC,2022-01-11,14.709885,19.297855,0.00554426,24
AC,2022-01-12,15.146088,19.735386,0.0056054387,24
AC,2022-01-13,9.7133,12.79293,0.0056112097,24
AC,2022-01-14,12.674348,17.054066,0.0056104832,24
AC,2022-01-15,11.496655,15.308052,0.0055521014,24
AC,2022-01-16,10.273276,13.780467,0.0055323592,24
AC,2022-01-17,8.638496,11.388851,0.00556412,24
AC,2022-01-18,10.159653,13.308919,0.0055907504,24
AC,2022-01-19,9.593261,12.84378,0.0056072627,24
AC,2022-01-20,11.769992,15.91079,0.005491935,24
AC,2022-01-21,9.689621,13.171361,0.005520527,24
AC,2022-01-22,8.845572,12.208344,0.005494228,24
AC,2022-01-23,6.781159,9.581553,0.005511109,24
AC,2022-01-24,13.190575,18.459047,0.0055475715,24
AC,2022-01-25,11.000179,15.253615,0.005632672,24
AC,2022-01-26,10.438356,14.342506,0.0056908284,24
AC,2022-01-27,16.62811,22.668901,0.005644928,24
AC,2022-01-28,13.186919,18.169096,0.0056092925,24
AC,2022-01-29,15.722683,21.807302,0.0055465666,24
AC,2022-01-30,14.776542,20.721819,0.005656414,24
AC,2022-01-31,16.940514,23.963188,0.0055951695,24
AC,2022-02-01,16.869776,24.012619,0.0055890367,24
AC,2022-02-02,14.260933,20.091444,0.0055966764,24
AC,2022-02-03,19.829012,25.916643,0.005597733,24
AC,2022-02-04,20.356611,25.084051,0.0056184176,24
AC,2022-02-05,20.513584,25.7992,0.0055792634,24
AC,2022-02-06,14.615392,18.961306,0.0055823843,24
AC,2022-02-07,17.81457,23.896492,0.005561497,24
AC,2022-02-08,18.242477,24.847198,0.0056732018,24
AC,2022-02-09,20.910471,28.882132,0.005596554,24
AC,2022-02-10,15.35598,21.071047,0.005552053,24
AC,2022-02-11,16.932413,22.781939,0.005492704,24
AC,2022-02-12,18.29257,23.14548,0.0054907836,24
AC,2022-02-13,16.317965,20.186167,0.0055124494,24
AC,2022-02-14,13.815418,17.517035,0.005467934,24
AC,2022-02-15,14.04844,17.743286,0.0055590435,24
AC,2022-02-16,10.782241,13.571237,0.0055404473,24
AC,2022-02-17,6.4219613,8.351998,0.0055824816,24
AC,2022-02-18,15.00908,20.073349,0.0055272784,24
AC,2022-02-19,27.102304,33.682327,0.0054988167,24
AC,2022-02-20,21.001518,24.89772,0.0055893236,24
AC,2022-02-21,14.201328,17.582846,0.005530014,24
AC,2022-02-22,18.54455,22.944117,0.0055548004,24
AC,2022-02-23,16.919567,20.331556,0.005538065,24
AC,2022-02-24,21.985506,26.263597,0.0055411137,24
AC,2022-02-25,27.094902,31.923208,0.0055846167,24
AC,2022-02-26,23.062681,27.292732,0.005506545,24
AC,2022-02-27,8.390969,10.190574,0.005670196,24
