age,qx,dx,lx,Lx,Tx,ex,year
0,21.638352839776925,2163.8352839776926,100000.0,98084.8219743068,7348357.403044221,73.48357403044221,2010
1,2.0259210017615925,198.2083408299961,97836.16471602231,97737.06054560731,7250272.581069915,74.10626328325972,2010
2,1.0749654851703185,104.95743314589701,97637.95637519231,97585.47765861936,7152535.520524307,73.25568647749382,2010
3,0.7162431348118347,69.85734090985068,97532.99894204641,97498.07027159148,7054950.042865688,72.33398049267102,2010
4,0.5293770591619376,51.59475127749317,97463.14160113657,97437.34422549783,6957451.972594096,71.3854679655941,2010
5,0.4164747509332609,40.569449712318736,97411.54684985908,97391.26212500292,6860014.628368598,70.42301298163322,2010
6,0.342737178225541,33.37265403518923,97370.97740014676,97354.29107312916,6762623.366243595,69.45214628433423,2010
7,0.2930809030587597,28.527793100566996,97337.60474611157,97323.34084956128,6665269.075170466,68.47578685088538,2010
8,0.26048556459892674,25.347609850705478,97309.076953011,97296.40314808564,6567945.734320904,67.49571509647,2010
9,0.24207332032618561,23.549795375812785,97283.72934316029,97271.95444547238,6470649.331172818,66.51317106016916,2010
10,0.23773692672968438,23.122336178867585,97260.17954778447,97248.61837969504,6373377.376727346,65.52915495694793,2010
11,0.2498787497562336,24.297474286011365,97237.0572116056,97224.9084744626,6276128.758347651,64.54461846464201,2010
12,0.28384653421460104,27.593504932874875,97212.75973731959,97198.96298485316,6178903.849873188,63.56062585373895,2010
13,0.3387389094966365,32.920397228808014,97185.16623238672,97168.70603377232,6081704.8868883345,62.5785304759979,2010
14,0.4710707826623863,45.765584482976394,97152.24583515791,97129.36304291643,5984536.180854562,61.59956601527012,2010
15,0.7011315871944227,68.08442062501958,97106.48025067494,97072.43804036244,5887406.817811646,60.628361800506354,2010
16,0.8699058495781418,84.4142681662396,97038.39583004992,96996.1886959668,5790334.379771283,59.67054927322065,2010
17,1.026569555837471,99.53000578865729,96953.98156188369,96904.21655898936,5693338.191075316,58.72206689563726,2010
18,1.1592614929301663,112.27963610785119,96854.45155609502,96798.3117380411,5596433.974516327,57.78189731707943,2010
19,1.2714050797919387,122.99848880917673,96742.17191998717,96680.67267558258,5499635.662778285,56.8483790846342,2010
20,1.3856882578202068,133.88405410387745,96619.173431178,96552.23140412607,5402954.990102703,55.92011190150821,2010
21,1.4995307396996667,144.68265734974037,96485.28937707412,96412.94804839925,5306402.758698577,54.99701346140578,2010
22,1.5857156829820933,152.768810983477,96340.60671972438,96264.22231423264,5209989.810650178,54.07885613391623,2010
23,1.6363713351208644,157.39902074111566,96187.83790874091,96109.13839837036,5113725.588335945,53.16395190406129,2010
24,1.661092865406765,159.51547689873684,96030.4388879998,95950.68114955042,5017616.449937575,52.250270935339735,2010
25,1.676514838861536,160.72902571406877,95870.92341110106,95790.55889824402,4921665.768788024,51.33637596963143,2010
26,1.6971623953996944,162.43574276727378,95710.19438538699,95628.97651400336,4825875.20988978,50.42174703415495,2010
27,1.7251981927814675,164.83882053456736,95547.75864261971,95465.33923235242,4730246.233375777,49.50661638300136,2010
28,1.767251198449767,168.565579367218,95382.91982208514,95298.63703240153,4634780.894143424,48.59130861991371,2010
29,1.8220334997846528,173.48374309059503,95214.35424271792,95127.61237117262,4539482.257111022,47.67644850627347,2010
30,1.8822109191249892,178.88696421754264,95040.87049962733,94951.42701751855,4444354.6447398495,46.76256247839477,2010
31,1.9465183164919226,184.65058849043035,94861.98353540979,94769.65824116458,4349403.217722331,45.84980258291562,2010
32,2.0223463688955796,191.47036050192017,94677.33294691936,94581.59776666839,4254633.559481166,44.93824896679882,2010
33,2.1117194093968448,199.52762993734086,94485.86258641744,94386.09877144877,4160051.9617144982,44.02830061385835,2010
34,2.2149648101650663,208.84091400803982,94286.3349564801,94181.91449947609,4065665.8629430495,43.12041469020559,2010
35,2.3309707468146015,219.29188654662732,94077.49404247207,93967.84809919875,3971483.9484435734,42.21502697181341,2010
36,2.4602156467358243,230.91141751850182,93858.20215592544,93742.7464471662,3877516.100344375,41.31249066440359,2010
37,2.6052290232508426,243.9205352000426,93627.29073840694,93505.33047080692,3783773.3538972083,40.4131458259217,2010
38,2.767234299545189,258.4136650334403,93383.3702032069,93254.16337069018,3690268.0234264014,39.517400318666944,2010
39,2.9468449235720793,274.42480543238696,93124.95653817346,92987.74413545727,3597013.860055711,38.62567021527936,2010
40,3.14271570233897,291.8028240470082,92850.53173274107,92704.63032071758,3504026.115920254,37.73835271085109,2010
41,3.3566882362561707,310.69079649063735,92558.72890869407,92403.38351044875,3411321.4855995364,36.8557512167727,2010
