immediate_code,immediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
110001,Porto Velho,556123,59308.0,22722025,457116.0,5,10.66454723145779,40857.912727939685,82.19692406176331
110002,Ariquemes,184021,22014.0,6393190,127786.0,8,11.962765119198354,34741.63274843632,69.44098771335881
110003,Jaru,105200,14391.0,3372753,58822.0,5,13.679657794676805,32060.389733840304,55.91444866920152
110004,Ji-Paraná,290435,40306.0,9173046,200870.0,13,13.877803983679653,31583.8173773822,69.16177457951005
110005,Cacoal,293682,40903.0,9776052,194054.0,14,13.927649634638827,33287.88281202117,66.07623211500875
110006,Vilhena,151735,19124.0,6733032,110532.0,7,12.603552245691501,44373.625070023394,72.84542129370284
120001,Rio Branco,456793,48069.0,14020041,347150.0,7,10.523147246126802,30692.328910469292,75.99722412558862
120002,Brasiléia,71100,7060.0,1919075,38905.0,4,9.929676511954993,26991.209563994373,54.71870604781998
120003,Sena Madureira,60062,4872.0,1041543,32282.0,3,8.111617994738769,17341.130831474144,53.74779394625554
120004,Cruzeiro do Sul,153948,12146.0,3000884,75683.0,5,7.889677033803622,19492.841738768933,49.16140514979084
120005,Tarauacá,88115,6269.0,1392899,38259.0,3,7.114566191908302,15807.739885377065,43.419395108664816
130001,Manaus,2349698,229147.0,108092376,1906518.0,10,9.752189430301256,46002.66757685456,81.13885273767096
130002,São Gabriel da Cachoeira,84793,6804.0,854493,37067.0,3,8.024247284563584,10077.400257096695,43.71469342988218
130003,Coari,132077,10307.0,4372579,83235.0,4,7.8037811276755225,33106.28648439925,63.02005648220357
130004,Manacapuru,141075,12401.0,2047701,78987.0,4,8.790359737728158,14514.98139287613,55.98936735778841
130005,Tefé,218880,14593.0,2804841,127899.0,9,6.667123538011696,12814.514802631578,58.43338815789474
130006,Tabatinga,210970,14048.0,2207491,104455.0,7,6.658766649286628,10463.530359766792,49.51177892591364
130007,Eirunepé,99419,6569.0,1313025,54116.0,5,6.6073889296814485,13206.982568724288,54.432251380520825
130008,Lábrea,136736,11235.0,1731796,70119.0,5,8.216563304469927,12665.25274982448,51.28056985724315
130009,Manicoré,155852,13467.0,2096679,75519.0,4,8.640890075199547,13453.013115006544,48.455586068834535
130010,Parintins,232548,21538.0,2757118,122700.0,5,9.261743812030204,11856.124327020658,52.76330047990092
130011,Itacoatiara,179565,16873.0,3252940,94875.0,6,9.39659733244229,18115.668420906077,52.836020382591265
140001,Boa Vista,485282,38526.0,15148199,297482.0,5,7.93888914074703,31215.25010200255,61.300851875816534
140002,Pacaraima,60969,3451.0,916722,9182.0,4,5.660253571487149,15035.87068838262,15.060112516196755
140003,Rorainópolis,59476,5393.0,1475884,23207.0,4,9.067523034501312,24814.782433250388,39.01910014123344
140004,Caracaraí,30980,3090.0,661775,14988.0,2,9.974176888315043,21361.362169141383,48.37959974176888
150001,Belém,2463988,332196.0,62059373,2198298.0,15,13.482046178796326,25186.55650920378,89.21707410912715
150002,Cametá,224795,20675.0,2767900,88746.0,4,9.197268622522744,12312.99628550457,39.47863609066038
150003,Abaetetuba,379606,33705.0,5280777,193078.0,4,8.878942903958315,13911.205302339795,50.86273662692371
150004,Castanhal,509095,61639.0,8607721,285488.0,14,12.107563421365363,16907.88752590381,56.077549376835364
150005,Bragança,294942,31499.0,3081044,130739.0,6,10.67972686155244,10446.270792223555,44.32702022770579
150006,Capanema,198059,25502.0,3180386,121639.0,9,12.875961203479772,16057.770664297002,61.41553779429362
150007,Paragominas,290462,25288.0,8491160,180999.0,6,8.70613023390323,29233.29041320379,62.31417534823832
150008,Capitão Poço,119542,12084.0,1443277,45450.0,4,10.108581084472403,12073.388432517442,38.0201100868314
150009,Marabá,530744,54149.0,18020037,352922.0,13,10.202470494249582,33952.40831738088,66.4957116802074
150010,Parauapebas,393057,24223.0,88976033,188525.0,4,6.1627194020205724,226369.2874061523,47.963781334513826
150011,Tucuruí,316850,31461.0,9462234,203084.0,6,9.929304087107464,29863.449581821053,64.09468202619536
150012,Redenção,222071,24462.0,6922947,154897.0,8,11.015395976962322,31174.475730734765,69.75111563418906
150013,Tucumã - São Félix do Xingu,137435,11967.0,4295974,91933.0,3,8.707388947502457,31258.223887655982,66.89198530214283
150014,Xinguara,95204,9587.0,2991200,53205.0,4,10.069955043905718,31418.847947565228,55.88525692197807
150015,Santarém,538508,57134.0,8912080,283888.0,6,10.609684535791484,16549.577722150832,52.71750837499164
150016,Itaituba,268963,24438.0,5975449,122314.0,7,9.086008112640029,22216.62087350305,45.476143558779455
150017,Oriximiná,213031,20487.0,5442249,103709.0,6,9.616910214945243,25546.746717613867,48.682586102492124
150018,Altamira,291682,26782.0,10363625,146645.0,7,9.181917293490857,35530.560679095724,50.275642651929154
150019,Almeirim - Porto de Moz,74877,5410.0,1093047,34548.0,2,7.22518263285121,14597.900556913339,46.1396690572539
150020,Breves,407109,28291.0,4120422,139470.0,10,6.949244551213557,10121.176392563171,34.25863834992594
150021,Soure-Salvaterra,150111,15353.0,1418041,71982.0,6,10.227764787390663,9446.616170700348,47.95251513879729
160001,Macapá,578074,49679.0,15916402,490351.0,4,8.59388244411615,27533.50263115103,84.82495320668289
160002,Laranjal do Jari,46405,4069.0,1371512,48206.0,2,8.768451675466006,29555.2634414395,100.0
160003,Oiapoque,67246,4986.0,1314110,38957.0,6,7.41456740921393,19541.831484400558,57.93207030901466
160004,Porto Grande,42034,3182.0,1497826,23522.0,4,7.570062330494362,35633.67749916734,55.959461388399866
170001,Palmas,333542,29487.0,11342662,241796.0,10,8.840565805805566,34006.69780717271,72.49341911963111
170002,Porto Nacional,116973,16224.0,5715771,78672.0,13,13.869867405298658,48864.019902028675,67.25654638249853
170003,Paraíso do Tocantins,120434,16177.0,4715209,82645.0,14,13.432253350382783,39151.80928973546,68.62264808940996
170004,Miracema do Tocantins,47791,7143.0,1525778,35734.0,5,14.946328806679082,31926.053022535623,74.7714004728924
170005,Araguaína,301108,36699.0,9390042,226891.0,21,12.187985706125378,31184.963534678587,75.35203315753816
170006,Guaraí,85846,12158.0,3338410,60281.0,14,14.162570183817532,38888.3582228642,70.21992870954966
170007,Colinas do Tocantins,63154,8266.0,1845256,45126.0,9,13.08864046616208,29218.3551318998,71.45390632422333
170008,Tocantinópolis,46684,6579.0,919187,34700.0,8,14.092622740125096,19689.551023905406,74.32953474423786
170009,Araguatins,133075,17008.0,2152109,79768.0,13,12.780762727785083,16172.151042645124,59.94213789216607
170010,Gurupi,185755,27515.0,8879395,142600.0,18,14.812521870205378,47801.647331162014,76.76778552394283
170011,Dianópolis,77098,11665.0,1956944,61893.0,14,15.13009416586682,25382.55207657786,80.2783470388337
210001,São Luís,1646005,192102.0,42473807,1166758.0,13,11.670802944097982,25804.178602130614,70.88423182189605
210002,Pinheiro,340540,41387.0,2965148,136192.0,11,12.15334468784871,8707.194455864215,39.99295236976567
210003,Chapadinha,268485,30833.0,2564177,135504.0,10,11.4840680112483,9550.540998566028,50.469858651321296
210004,Itapecuru Mirim,237061,26251.0,2751103,125693.0,9,11.073521161220109,11605.042583976276,53.021374245447376
210005,Viana,244416,32039.0,2160090,109610.0,10,13.108388976171772,8837.760212097408,44.8456729510343
210006,Barreirinhas,118832,11629.0,1005271,40478.0,4,9.786084556348458,8459.598424666756,34.06321529554329
