intermediate_code,intermediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
1101,Porto Velho,845344,95713.0,32487968,643724.0,18,11.322372903811939,38431.6538592573,76.14935458227656
1102,Ji-Paraná,735852,100333.0,25682130,505456.0,34,13.634942896125851,34901.21654897996,68.68989959937596
1201,Rio Branco,587955,60001.0,16980659,418337.0,14,10.205032698080634,28880.8820402922,71.15119354372358
1202,Cruzeiro do Sul,242063,18415.0,4393783,113942.0,8,7.607523661195639,18151.402733999,47.07121699722799
1301,Manaus,2707643,258659.0,115367149,2105807.0,21,9.552921119955622,42607.961610891834,77.77269750849725
1302,Tefé,529269,35210.0,6325357,286470.0,21,6.652571754627609,11951.119374080099,54.12559586901935
1303,Lábrea,292588,24702.0,3828475,145638.0,9,8.44258821277701,13084.866775124065,49.77579394917085
1304,Parintins,412113,38411.0,6010058,217575.0,11,9.32050190117759,14583.519568661994,52.79498584126199
1401,Boa Vista,546251,41977.0,16064921,306664.0,9,7.684562591189764,29409.412522814604,56.13975992721295
1402,Rorainópolis - Caracaraí,90456,8483.0,2137659,38195.0,6,9.378040152118157,23632.031042716902,42.224949146546386
1501,Belém,3068389,386576.0,70108050,2480122.0,23,12.598663337666768,22848.488245786306,80.82814793039604
1502,Castanhal,1412100,156012.0,24803588,764315.0,39,11.048226046314,17565.03647050492,54.12612421216628
1503,Marabá,1240651,109833.0,116458304,744531.0,23,8.852852252567402,93868.70602611049,60.01131663940947
1504,Redenção,454710,46016.0,14210121,300035.0,15,10.11985661190649,31250.953354885532,65.9838138593829
1505,Santarém,1020502,102059.0,20329778,509911.0,19,10.000862320700989,19921.35047261054,49.96668306382545
1506,Altamira,366559,32192.0,11456672,181193.0,9,8.782215141355143,31254.646591681012,49.43078740393771
1507,Breves,557220,43644.0,5538463,211452.0,16,7.832453967912135,9939.454793438857,37.94766878432217
1601,Macapá,624479,53748.0,17287914,538557.0,6,8.606854674056294,27683.739565301636,86.2410105063581
1602,Oiapoque - Porto Grande,109280,8168.0,2811936,62479.0,10,7.474377745241581,25731.478770131773,57.173316251830165
1701,Palmas,618740,69031.0,23299420,438847.0,42,11.156705562918189,37656.23686847464,70.92591395416493
