age_group,ex,age_midpoint
0,75.64881929848758,0.0
1-4,74.29078912938763,2.5
5-9,69.92311753856383,7.0
10-14,65.0060227558043,12.0
15-19,60.175096750655946,17.0
20-24,55.53647720835848,22.0
25-29,50.95204348670836,27.0
30-34,46.3572928990275,32.0
35-39,41.78147473635538,37.0
40-44,37.2641818756413,42.0
45-49,32.858056771911514,47.0
50-54,28.605537701375187,52.0
55-59,24.536304938473464,57.0
60-64,20.672881639515015,62.0
65-69,17.062175025455094,67.0
70-74,13.77323866744902,72.0
75-79,10.87607264682752,77.0
80+,6.9431843875638535,84.5
