year,total_deaths,expected,total_excess,heat_excess,cold_excess,n_heat_days,n_cold_days
2010,704830.0,0.021990272014271443,704829.9780097279,29077.99914294551,30449.999036522364,15.0,15.0
2011,733686.0,0.02271898862162284,733685.9772810113,0.0,35051.998919851714,0.0,16.0
2012,742306.0,0.02322259154426593,742305.9767774085,14856.99958046802,22619.99928174749,7.0,10.0
2013,769724.0,0.02400150593828748,769723.975998494,4314.999878511622,18556.99942652604,2.0,8.0
2014,787453.0,0.02462346930736279,787452.9753765308,19037.99948099137,11360.999637190833,8.0,5.0
2015,827590.0,0.02553135825959021,827589.9744686417,56910.998307817594,2529.9999229455066,25.0,1.0
2016,864151.0,0.027155162556525878,864150.9728448375,20989.999356230324,28598.999113074206,9.0,11.0
2017,877265.0,0.02714965197460683,877264.972850348,7191.999779859974,24603.9992694772,3.0,9.0
2018,890271.0,0.027854061793994103,890270.9721459382,0.0,13070.99958324364,0.0,5.0
2019,929732.0,0.02879231935703589,929731.9712076806,32608.99902251174,19681.999394576276,13.0,7.0
2020,1084335.0,0.03391517798761509,1084334.966084822,18571.999451763746,23121.999298547573,6.0,7.0
2022,1098323.0,0.03402904613030562,1098322.965970954,0.0,58948.998140131145,0.0,19.0
2023,1034609.0,0.0325152799763853,1034608.96748472,72048.99794233375,24919.999243092294,24.0,8.0
2024,1089243.0,0.03363215419129291,1089242.9663678457,47929.99858685906,21386.999319016253,16.0,7.0
