year,total_deaths,expected,total_excess,heat_excess,cold_excess,n_heat_days,n_cold_days
2010,341562.0,0.010715200789215465,341561.9892847992,17883.999479508144,13248.999576478273,9.0,7.0
2011,353138.0,0.011239158473583054,353137.98876084154,0.0,28212.99906129615,0.0,15.0
2012,356456.0,0.012243283444057857,356455.98775671655,8677.999725014051,3618.999870679222,4.0,2.0
2013,364020.0,0.012658932984570926,364019.987341067,0.0,24418.999164335168,0.0,12.0
2014,381958.0,0.013729833213354596,381957.9862701668,4796.999839292263,10591.99959165358,2.0,5.0
2015,393945.0,0.015752831020730818,393944.984247169,27630.998949888173,0.0,12.0,0.0
2016,411832.0,0.01582508787117743,400325.9841749121,4783.999824036466,13282.99946515083,2.0,6.0
2017,415958.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,422980.0,0.0,0.0,0.0,0.0,0.0,2.0
2019,439639.0,0.0,0.0,0.0,0.0,8.0,0.0
2020,498939.0,0.0,0.0,0.0,0.0,3.0,5.0
2022,553098.0,0.0,0.0,0.0,0.0,0.0,9.0
2023,497215.0,0.0,0.0,0.0,0.0,18.0,0.0
2024,516923.0,0.0,0.0,0.0,0.0,6.0,0.0
