year,total_deaths,heat_an,cold_an,heat_af_pct,cold_af_pct,total_an,total_af_pct
2010,704830,12323.3553976846,27051.7413220452,1.74841527711428,3.83805191635503,39375.0967197298,5.58646719346931
2011,733686,7271.81997817087,30164.365204335,0.991135169291887,4.11134534451182,37436.1851825059,5.10248051380371
2012,742306,13021.3176732592,25453.0566621654,1.7541711468396,3.42891700486934,38474.3743354246,5.18308815170894
2013,769724,11794.8522190715,30108.3926443807,1.53234824678345,3.91158293679042,41903.2448634522,5.44393118357388
2014,787453,12952.887588485,24543.8724465888,1.64490929471156,3.11686823805215,37496.7600350738,4.76177753276371
2015,827590,18908.137178066,23146.8509541024,2.28472277070361,2.79689833783666,42054.9881321685,5.08162110854028
2016,864151,17771.5782567515,31585.9045961898,2.05653621378109,3.65513719201735,49357.4828529413,5.71167340579844
2017,877265,15609.9177137191,28401.7327145415,1.77938453189391,3.23753172810285,44011.6504282606,5.01691625999677
2018,890271,12591.6587732883,29337.0882241208,1.41436245517244,3.2952986477287,41928.7469974091,4.70966110290115
2019,929732,19047.6477332681,27654.6261425093,2.04872455000668,2.97447287417334,46702.2738757774,5.02319742418002
2020,1084335,18752.8237028821,37091.730011359,1.72943082192146,3.42068917920744,55844.5537142411,5.15012000112891
2021,1244194,15638.2417369121,47110.2416570068,1.25689737588448,3.78640643316129,62748.4833939189,5.04330380904577
2022,1098323,11119.7480724269,44466.7375583409,1.01242968347443,4.04860296637154,55586.4856307678,5.06103264984597
2023,1034609,21950.044664518,33200.5401533214,2.12157874757691,3.20899394392678,55150.5848178395,5.33057269150369
2024,1089243,22471.6292586366,31553.1415583965,2.06305014203778,2.89679544035596,54024.7708170331,4.95984558239374
