year,total_deaths,heat_an,cold_an,heat_af_pct,cold_af_pct,total_an,total_af_pct
2010,704830,13088.3244703053,37828.3319282559,1.85694769948857,5.3670150147207,50916.6563985612,7.22396271420927
2011,733686,7271.54311672478,42683.5844752447,0.991097433605763,5.81769101158325,49955.1275919694,6.80878844518901
2012,742306,13199.0096966852,35146.5922868093,1.77810898695217,4.73478488477923,48345.6019834945,6.5128938717314
2013,769724,12021.6443719405,41696.171204016,1.56181233428352,5.41702885761857,53717.8155759565,6.97884119190209
2014,787453,13402.3092481938,33838.8425445867,1.70198211806848,4.29725234961156,47241.1517927805,5.99923446768004
2015,827590,20320.2894079697,31887.2599326808,2.4553570497432,3.85302624882862,52207.5493406505,6.30838329857181
2016,864151,19144.9906658869,45149.7883859697,2.21546820704794,5.22475682906919,64294.7790518565,7.44022503611713
2017,877265,16568.5218394375,39204.0556410884,1.88865643100289,4.4688954467679,55772.577480526,6.35755187777079
2018,890271,12889.8505845696,40574.6321277227,1.44785695418245,4.55755967876329,53464.4827122923,6.00541663294574
2019,929732,20855.839002024,37592.8756592148,2.24320976389153,4.04340989222859,58448.7146612388,6.28661965612013
2020,1084335,19939.6379986839,49245.3747546732,1.838881710789,4.54152773401884,69185.0127533571,6.38040944480784
2021,1244194,16256.7248574408,64384.5887307044,1.30660691640056,5.17480302354009,80641.3135881452,6.48140993994066
2022,1098323,11586.4458251615,61006.044411515,1.05492153266038,5.55447208257635,72592.4902366765,6.60939361523673
2023,1034609,23889.6491736778,44791.9556970171,2.30905097226854,4.32936072439126,68681.604870695,6.6384116966598
2024,1089243,24589.5556424738,43584.0082512017,2.25749035270126,4.00131175974523,68173.5638936755,6.25880211244649
