year,total_deaths,total_expected,total_excess,heat_excess,cold_excess,extreme_heat_excess,extreme_cold_excess,excess_pct,heat_excess_pct,cold_excess_pct
2010,704830,702846.104744206,1983.89525579372,5279.48461780455,-3295.58936201083,1894.82505906126,-411.966568206615,0.282265953016235,0.75115798211985,-0.468892029103616
2011,733686,732002.977101961,1683.02289803918,3443.99027362423,-1760.96737558504,0,273.534891541418,0.229920225830551,0.470488561024597,-0.240568335194047
2012,742306,741628.556157259,677.443842741267,4896.81612171609,-4219.37227897482,1321.28382520808,671.563909630262,0.0913454366228069,0.660278798741097,-0.56893336211829
2013,769724,773562.55804797,-3838.55804796949,-311.402865589689,-3527.1551823798,349.126923825237,696.843294739276,-0.496218180163195,-0.040255679692602,-0.455962500470593
2014,787453,785436.508473658,2016.49152634167,6965.94728136975,-4949.45575502807,3643.50883378774,-27.7766361934337,0.25673514085312,0.886888654425639,-0.630153513572519
2015,827590,828008.641632648,-418.641632647528,1878.84131448883,-2297.48294713635,2464.2933106294,86.9405251645549,-0.0505600559701962,0.226910834020303,-0.2774708899905
2016,864151,864592.7773823,-441.777382299877,586.31387479002,-1028.0912570899,627.691029698051,385.366265123848,-0.0510965848728731,0.0678138760961183,-0.118910460968991
2017,877265,876361.283613746,903.716386254047,240.600609369462,663.115776884585,550.374433323119,733.153764742397,0.103121441253943,0.027454500086691,0.0756669411672517
2018,890271,890821.906529031,-550.906529031332,1165.07557353509,-1715.98210256642,0,-9.37581624176892,-0.0618424990442664,0.130786587644061,-0.192629086688328
2019,929732,929669.568499,62.4315010001269,-3641.95632227155,3704.38782327168,684.821902911481,664.163415905663,0.00671545064134194,-0.391747395599028,0.39846284624037
2020,1084335,1101846.45875178,-17511.4587517828,-17577.2346041441,65.7758523613479,250.777808512292,1144.13188108675,-1.58928302693104,-1.59525262930521,0.0059696023741694
2021,1244194,1247894.89147827,-3700.89147827348,-6829.91473744975,3129.02325917627,0,-4534.17163813951,-0.296570769184683,-0.54731490481213,0.250744135627447
2022,1098323,1075501.35337197,22821.6466280257,20681.8819615878,2139.76466643794,0,-1212.15974402708,2.12195424547575,1.92299915725301,0.198955088222737
2023,1034609,1035790.96248919,-1181.96248919201,6668.20949583636,-7850.17198502837,6062.37200674483,195.283968932386,-0.114112068167841,0.643779462973055,-0.757891531140897
2024,1089243,1091747.45172668,-2504.4517266771,3271.97930761128,-5776.43103428838,1395.76741311607,-625.983145719478,-0.229398449496367,0.299701116997013,-0.529099566493381
