region_code,first_treatment_date,total_households_electrified,n_treated_municipalities,first_treatment_year,log_households,treatment_cohort
110001.0,2005-10-01,24220,5,2005,10.094975304446326,2005
110002.0,2004-11-01,11476,8,2004,9.348100311680668,2004
110003.0,2004-11-01,8871,5,2004,9.090655529030203,2004
110004.0,2004-11-01,14979,13,2004,9.61447125707121,2004
110005.0,2005-11-01,15728,14,2005,9.663261421240643,2005
110006.0,2005-11-01,6141,7,2005,8.722905701000768,2005
120001.0,2004-12-01,26425,7,2004,10.182103652974162,2004
120002.0,2004-12-01,7818,4,2004,8.964311948124514,2004
120003.0,2005-01-01,6360,3,2005,8.757940876678804,2005
120004.0,2005-06-01,11840,5,2005,9.379323364330956,2005
120005.0,2005-07-01,6417,3,2005,8.766861821669803,2005
130001.0,2004-12-01,50424,10,2004,10.828242362822413,2004
130002.0,2006-01-01,1209,3,2006,7.098375638590786,2006
130003.0,2006-06-01,6391,4,2006,8.76280248744611,2006
130004.0,2005-05-01,13421,4,2005,9.504650430718184,2005
130005.0,2006-06-01,9961,9,2006,9.20653313363323,2006
130006.0,2005-07-01,12359,7,2005,9.422220731011683,2005
130007.0,2006-11-01,3252,5,2006,8.087332926473351,2006
130008.0,2005-12-01,9520,5,2005,9.161255164285691,2005
130009.0,2005-05-01,10477,4,2005,9.257033099968165,2005
130010.0,2005-08-01,18263,5,2005,9.812687188209631,2005
130011.0,2005-05-01,15903,6,2005,9.674325928896355,2005
140001.0,2004-12-01,11520,5,2004,9.351926736038054,2004
140002.0,2010-12-01,4681,4,2010,8.451480648050856,2010
140003.0,2010-12-01,3324,4,2010,8.109224953089955,2010
140004.0,2011-08-01,2906,2,2011,7.9748769005588755,2011
150001.0,2004-12-01,57255,14,2004,10.955287719418433,2004
150002.0,2004-12-01,20504,4,2004,9.92842403782616,2004
150003.0,2004-12-01,29737,4,2004,10.300180968257168,2004
150004.0,2004-11-01,36289,14,2004,10.499297500207115,2004
150005.0,2005-05-01,25273,6,2005,10.137531478318627,2005
150006.0,2005-03-01,10762,9,2005,9.283869605264298,2005
150007.0,2005-05-01,15093,6,2005,9.622052592844813,2005
150008.0,2005-06-01,9899,4,2005,9.20029003612268,2005
150009.0,2005-09-01,28407,13,2005,10.254426074622923,2005
150010.0,2005-09-01,3294,3,2005,8.100161446936607,2005
150011.0,2005-01-01,40168,6,2005,10.600850832843811,2005
150012.0,2004-12-01,21508,8,2004,9.976226731176434,2004
150013.0,2005-02-01,10037,3,2005,9.214133170214879,2005
150014.0,2005-04-01,4541,4,2005,8.421122722665503,2005
150015.0,2004-12-01,34074,5,2004,10.436319256564733,2004
150016.0,2005-11-01,20755,7,2005,9.94059064048763,2005
150017.0,2005-12-01,18510,6,2005,9.826120428959685,2005
150018.0,2005-05-01,30458,7,2005,10.324136795969332,2005
150019.0,2005-12-01,5325,2,2005,8.580355766373877,2005
150020.0,2005-09-01,44347,9,2005,10.699822890892243,2005
150021.0,2005-02-01,12480,6,2005,9.431962766918454,2005
160001.0,2007-07-01,8064,4,2007,8.99528899055931,2007
160002.0,2011-05-01,1236,2,2011,7.1204443723924875,2011
160003.0,2007-09-01,3315,6,2007,8.106514516255185,2007
160004.0,2007-12-01,2167,4,2007,7.681560362559537,2007
170001.0,2004-12-01,6861,10,2004,8.833754223418396,2004
170002.0,2004-12-01,7669,13,2004,8.945071894361302,2004
170003.0,2004-10-01,7439,14,2004,8.914626127827137,2004
170004.0,2004-12-01,5530,5,2004,8.618123909994678,2004
170005.0,2004-12-01,16701,21,2004,9.723283751713176,2004
170006.0,2004-12-01,5548,12,2004,8.621373010325902,2004
170007.0,2005-05-01,3972,9,2005,8.287276755814599,2005
170008.0,2005-02-01,2912,8,2005,7.976938756959434,2005
170009.0,2004-12-01,8318,13,2004,9.026297334283887,2004
170010.0,2004-12-01,9972,17,2004,9.207636720401869,2004
170011.0,2004-12-01,5797,14,2004,8.6652683094816,2004
210001.0,2004-12-01,31869,13,2004,10.369420407411383,2004
210002.0,2004-12-01,25245,11,2004,10.136423006312807,2004
210003.0,2004-12-01,20498,10,2004,9.928131383448887,2004
210004.0,2004-12-01,15451,9,2004,9.645493723786172,2004
210005.0,2004-12-01,20898,10,2004,9.947456589918252,2004
210006.0,2004-12-01,11820,4,2004,9.377632889750377,2004
210007.0,2004-12-01,14017,7,2004,9.54809749706027,2004
210008.0,2004-12-01,6920,9,2004,8.842315546841863,2004
210009.0,2004-12-01,22155,15,2004,10.005863619152995,2004
210010.0,2004-12-01,17432,16,2004,9.766120240743215,2004
210011.0,2004-12-01,14186,14,2004,9.560081331311986,2004
210012.0,2004-12-01,7412,14,2004,8.910990494656719,2004
210013.0,2004-12-01,14847,6,2004,9.605620455025981,2004
210014.0,2004-12-01,14593,4,2004,9.588365764325566,2004
210015.0,2004-12-01,14950,4,2004,9.612533466213927,2004
210016.0,2004-12-01,9592,13,2004,9.168788944817948,2004
210017.0,2004-12-01,10424,11,2004,9.251962046667002,2004
210018.0,2004-12-01,6775,4,2004,8.821142236331891,2004
210019.0,2004-12-01,28238,17,2004,10.24845928021533,2004
210020.0,2004-12-01,26471,9,2004,10.183842849601447,2004
210021.0,2004-12-01,15268,5,2004,9.633579908183512,2004
210022.0,2004-12-01,20198,12,2004,9.91338837721339,2004
220001.0,2004-12-01,20603,15,2004,9.933240510685476,2004
220002.0,2004-12-01,5927,22,2004,8.687442166975924,2004
220003.0,2004-12-01,9704,12,2004,9.18039649560311,2004
220004.0,2006-05-01,4856,9,2006,8.488176242345745,2006
220005.0,2006-10-01,5705,6,2006,8.649273531773446,2006
220006.0,2006-09-01,7659,11,2006,8.943767262734637,2006
220007.0,2004-12-01,10282,10,2004,9.23824732522919,2004
220008.0,2006-08-01,9242,9,2006,9.131621787264777,2006
220009.0,2004-12-01,24002,33,2004,10.085934101518234,2004
220010.0,2004-12-01,14864,9,2004,9.606764735432199,2004
220011.0,2009-01-01,3999,9,2009,8.294049640102028,2009
220012.0,2006-07-01,4713,7,2006,8.458292083496076,2006
220013.0,2004-12-01,16290,13,2004,9.69836808706617,2004
220014.0,2006-01-01,5199,8,2006,8.556413904569519,2006
