region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
110001,5356,462,0.0467881627253757,,1.0479000012853716,1.0293395799573117,,26.241474151611328,29.770770721435543
110002,4093,345,-0.20846444456481783,562315.4092049886,0.811829899154755,-4.586217780425441,,26.030719757080078,29.7386372756958
110003,3153,272,0.014079085623212296,5437305.414554423,1.0141786627185574,0.3097398837105324,,26.115009307861328,29.955843811035155
110004,5072,445,0.08697365480307742,1374774.624033289,1.090867940209004,1.9134204056670714,,20.02862548828125,23.743672409057616
110005,5080,446,0.04416790263838471,2866343.2000853815,1.0451578249134228,0.971693858045765,1529954.5362296351,25.536657333374023,29.186229705810547
110006,3928,341,0.04795344908784491,,1.049121816610211,1.0549758799327356,499681.7380980401,25.445419311523438,29.6972314453125
120001,5282,460,-0.06665741723168478,,0.9355156379826682,-1.466463179098238,,26.11273956298828,29.914722061157224
120002,2159,197,7.850649226537823,,2567.4006004815456,172.71428298254764,1861608.1334412019,16.634594917297363,19.414655380249023
120003,1548,97,0.012840621188108678,,1.0129234159636118,0.2824936661385713,,25.720760345458984,29.03868453979492
120004,3109,239,-0.044816769785209556,,0.9561726655060162,-0.9859689352746136,,23.6842098236084,26.66537120819092
120005,1820,128,-0.0392993794794575,36115613.893470414,0.9614628238153251,-0.864586348548116,,25.292278289794922,28.52067070007324
130001,5458,501,-0.005704025454198678,791861.1202795568,0.9943122116121101,-0.12548855999259778,297811.61143957934,26.676002502441406,30.636136550903323
130002,2099,178,-0.049633513663855766,6920893.771470542,0.9515781009760113,-1.0919373006083681,,25.228097915649414,27.796040210723874
130003,2717,219,-0.32664354335926593,,0.7213408239317101,-7.186157953917991,,26.485361099243164,29.771704158782963
130004,3041,248,0.03477588798002763,,1.0353876399804383,0.7650695355613752,,26.386073112487793,30.1744190788269
130005,3172,223,0.24337184710112786,2343848.4750791164,1.2755428428530438,5.354180636230038,1362894.847072745,25.790367126464844,28.37833427429199
130006,3047,210,-0.1900462608194491,1065923.7184819588,0.8269208790210341,-4.1810177380289275,,25.709585189819336,28.20307218551636
130007,1820,125,0.12847098379021116,,1.1370884268161894,2.8263616433860355,28143683.285414934,25.91701889038086,28.934882736206053
130008,2586,212,-0.05549125423337463,,0.9460202973069981,-1.220807593134408,,26.210477828979492,29.516193389892578
130009,2863,245,-0.0980382381544268,,0.9066142358359511,-2.1568412393981946,,26.401984214782715,30.19356748580933
130010,4148,371,0.08691343741420064,,1.0908022529678123,1.9120956231136161,,26.695444107055664,30.544224472045897
130011,3503,316,-0.20508143324536351,,0.8145809797376544,-4.511791531399698,1310164.7273956488,26.433761596679688,30.581628189086913
140001,4917,469,0.26681978140859475,,1.305805094769099,5.87003519099005,,24.602087020874023,27.732301559448242
140002,998,86,0.0632720175776847,8772442.538216472,1.0653165846584203,1.3919843867094817,13510688.370962786,24.919992446899414,27.851321220397942
140003,1230,95,0.22531062458308376,4639284.937545711,1.2527117788365503,4.95683374082828,2709929.9496436515,25.830829620361328,29.382598876953125
150001,5458,478,0.1252095430086452,,1.1333859212819568,2.7546099461887774,849128.1243758183,27.165414810180664,29.046347846984865
150002,3862,333,-1.3441163411942123,1084118.5997744792,0.2607700378186437,-29.57055950658544,,27.560420989990234,29.87749828338623
150003,4765,410,-0.42925785332595257,,0.6509920470729763,-9.443672773170016,,27.306743621826172,29.698905372619627
150004,5364,451,0.06139780163555464,,1.063321821224667,1.3507516359824883,,27.060304641723633,28.41806098937988
150005,4790,407,0.22313456755233257,1383894.4749336925,1.2499887703480959,4.908960486157421,3429625.236770083,26.831077575683594,27.877922630310056
150006,4435,345,-0.00948653382683468,,0.9905583213829742,-0.20870374418887694,1738810.4155747548,26.770573616027832,27.811107921600343
150007,4242,365,-0.1826915099080386,43853982.192282386,0.833025096091776,-4.0192132179773346,17555746.880728558,27.04328155517578,29.654970779418946
150008,2888,244,-0.02606995733023698,,0.9742669301112801,-0.5735390612762217,,26.633615493774414,29.02141181945801
150009,5298,465,0.2945962317434991,,1.3425841563675782,6.481117098358248,,26.86848258972168,29.5028592300415
150010,4144,345,-0.09756564202789497,,0.9070427994728466,-2.146444124609051,,25.895793914794922,28.44444793701172
150011,4558,391,-0.6984792602260685,,0.4973410553190896,-15.36654372497209,,27.061887741088867,29.724943771362305
150012,4413,400,0.016043912543802632,,1.0161733071812225,0.3529660759663793,,25.940397262573242,29.29329345703125
150013,2710,234,-0.013223539860796232,,0.9868635070306447,-0.2909178769405141,1403415.6944227656,25.757152557373047,28.922347068786618
150014,2522,199,-0.2312541727418231,,0.7935377447359813,-5.087591800330473,,26.228252410888672,28.954741897583006
150015,5326,497,-1.7342924899556345,,0.17652504936064975,-38.154434779103354,,26.17544174194336,29.361279220581054
150016,4162,389,0.3113580855704027,2596470.6642994685,1.3652780200235914,6.849877882544468,4183277.954142293,26.27631187438965,29.966811408996584
150017,4091,385,-0.06981427323539996,,0.9325670064756453,-1.5359140111763079,,25.813929557800293,29.542074432373045
150018,4461,389,-0.1050316851180777,,0.9002959961493934,-2.310697072600403,,26.35800075531006,29.293310947418206
150019,1443,129,1.971043352289696,,7.178161934378982,43.36295374926544,,25.7241153717041,29.340178394317626
