region_code,n_days,n_deaths,mmt,rr_p99,rr_p99_lo,rr_p99_hi,rr_p1,rr_p1_lo,rr_p1_hi,in_mvmeta,conv_status,conv_heat,conv_cold,conv_mmt,region_name,primary_state,macro_region,n_municipalities,ac_pct,hdi,gdp_per_capita_brl,elderly_pct,urban_pct,hospital_beds_per_1000,physicians_per_1000,mean_temp_annual,is_good
1101,5464,37987,23.4405302824155,1.14191358249248,0.906237870627535,1.43887898767447,1.05981859414573,0.942432746244842,1.19182557797629,True,Good,Good,Good,Good,Porto Velho,RO,North,18,35.2,0.725,28547,10.8,75.2,1.8,1.3,25.8,1
1102,5474,39008,14.7915735054016,1.00270145859419,0.774444936792602,1.29823331175856,1.0,1.0,1.0,True,Good,Good,Good,Good,Ji-Paraná,RO,North,34,35.2,0.725,28547,10.8,75.2,1.8,1.3,25.8,1
1202,3912,7013,25.1537985013711,1.077563731887,0.723722528232117,1.60440438287121,1.08505821967397,0.744480284958358,1.58144058864889,True,Good,Good,Good,Good,Cruzeiro do Sul,AC,North,8,28.4,0.71,19262,9.5,73.1,1.6,1.2,25.2,1
1301,5479,112811,27.5237462431012,1.09209688017469,1.0054063054775,1.18626229932071,1.50640999785513,1.33474830781009,1.70014906058287,True,Good,Good,Good,Good,Manaus,AM,North,21,42.1,0.733,24871,8.7,81.0,1.4,1.1,27.1,1
1302,4725,12047,26.7879475680265,1.55009229092175,1.14148650327418,2.10496234820388,1.10109598220132,0.802602574798819,1.5106011369622,True,Partial,High,Good,Good,Tefé,AM,North,21,42.1,0.733,24871,8.7,81.0,1.4,1.1,27.1,0
1303,4063,7779,29.5856368255615,1.0,1.0,1.0,1.55096392641562,0.926544322969813,2.59619431192708,True,Good,Good,Good,Good,Lábrea,AM,North,9,42.1,0.733,24871,8.7,81.0,1.4,1.1,27.1,1
1304,4975,14138,24.1562929534912,1.05166259727362,0.637083518969672,1.73602704444932,1.0,1.0,1.0,True,Good,Good,Good,Good,Parintins,AM,North,11,42.1,0.733,24871,8.7,81.0,1.4,1.1,27.1,1
1401,5014,15905,27.5523755836487,1.0,1.0,1.0,1.37199887318775,0.865820601649635,2.1741003903603,True,Good,Good,Good,Good,Boa Vista,RR,North,9,38.5,0.752,24385,7.4,77.8,1.9,1.5,27.5,1
1402,1847,2343,29.479942779541,1.0,1.0,1.0,3.05285733058588,0.812747754317363,11.4671961028546,True,Partial,Good,High,Good,Rorainópolis - Caracaraí,RR,North,6,38.5,0.752,24385,7.4,77.8,1.9,1.5,27.5,0
1501,5479,158263,27.8772935767126,1.19790658434559,1.073747661669,1.33642217445023,1.43656384159242,1.25451647825228,1.64502874752657,True,Good,Good,Good,Good,Belém,PA,North,23,29.8,0.698,19877,9.2,75.4,1.5,0.9,26.8,1
