Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Impact of heat waves and cold spells on cause-specific mortality in the city of São Paulo, Brazil.","Heat waves and cold spells increase cause-specific mortality among people aged 65 years in So Paulo, with men at higher risk of dying from cerebrovascular diseases and ischemic stroke during both events.","Sara Lopes de Moraes, R. Almendra, L. Barrozo",2021,43,"","non-rct observational study","International journal of hygiene and environmental health","1","10.1016/j.ijheh.2021.113861","https://consensus.app/papers/impact-of-heat-waves-and-cold-spells-on-causespecific-moraes-almendra/b5774e4937b85c75b6b7bd4f7d24aebf/"
"The impact of temperature on mortality in a subtropical city: effects of cold, heat, and heat waves in São Paulo, Brazil","In So Paulo, Brazil, both cold and heat affect mortality, with cold affecting cardiovascular health and heat affecting respiratory health.","J. Son, N. Gouveia, M. Bravo, C. Freitas, M. Bell",2015,108,"Understanding how weather impacts health is critical, especially under a changing climate; however, relatively few studies have investigated subtropical regions. We examined how mortality in São Paulo, Brazil, is affected by cold, heat, and heat waves over 14.5 years (1996-2010). We used over-dispersed generalized linear modeling to estimate heat- and cold-related mortality, and Bayesian hierarchical modeling to estimate overall effects and modification by heat wave characteristics (intensity, duration, and timing in season). Stratified analyses were performed by cause of death and individual characteristics (sex, age, education, marital status, and place of death). Cold effects on mortality appeared higher than heat effects in this subtropical city with moderate climatic conditions. Heat was associated with respiratory mortality and cold with cardiovascular mortality. Risk of total mortality was 6.1% (95% confidence interval 4.7, 7.6%) higher at the 99th percentile of temperature than the 90th percentile (heat effect) and 8.6% (6.2, 11.1%) higher at the 1st compared to the 10th percentile (cold effect). Risks were higher for females and those with no education for heat effect, and males for cold effect. Older persons, widows, and non-hospital deaths had higher mortality risks for heat and cold. Mortality during heat waves was higher than on non-heat wave days for total, cardiovascular, and respiratory mortality. Our findings indicate that mortality in São Paulo is associated with both cold and heat and that some subpopulations are more vulnerable.","non-rct observational study","International Journal of Biometeorology","1","10.1007/s00484-015-1009-7","https://consensus.app/papers/the-impact-of-temperature-on-mortality-in-a-subtropical-son-gouveia/c0f09c6d332f54dd92cfaeff37cfbf51/"
"Effect modifiers of the temperature-mortality association for general and older adults population of Brazil’s metropolitan areas","Ambient temperature affects mortality differently in Brazilian metropolitan areas, with cold temperatures having a greater impact than heat, and implementing adaptive measures depends on the profile of each location.","Cristiane Aschidamini, Antônio Carlos Monteiro Ponce de Leon",2025,0,"Ambient temperature effect on mortality varies between places and populations, suggesting the existence of effect modifiers for this association. This study analyzes the influence of geographic, urban, and socioeconomic factors on the ambient temperature effect on non-accidental mortality in the general and older adults population of Brazilian metropolitan areas, and on that associated with circulatory, respiratory, and other mortality in older adults. Effects of this association were estimated for each group in 42 locations using a generalized additive model combined with the nonlinear distributed lag model. A meta-analysis was then performed to estimate the effects at the national and regional levels. Meta-regression determined the influence of effect modifiers. Estimated relative risks of the temperature-mortality association varied between locations in the Brazilian territory. Heat effects on non-accidental mortality at the national level were 1.09 (95%CI: 1.04-1.15) and 1.13 (95%CI: 1.07-1.20) for the General and Older Adult groups, respectively. Cold effects were 1.26 (95%CI: 1.21-1.32) and 1.30 (95%CI: 1.24-1.36) for the General and Older Adult groups, respectively. We observed a greater effect of cold than heat in both groups. For all causes of death, effects of heat and cold were greater in the Southeast and South Brazil. Amplitude of the mean temperature was the factor that best explained the heterogeneity between locations, followed by latitude, income and schooling. Hence, implementing adaptive measures to reduce the ambient temperature effects on mortality depends on the profile of each location.","meta-analysis","Cadernos de Saúde Pública","2","10.1590/0102-311xen042524","https://consensus.app/papers/effect-modifiers-of-the-temperaturemortality-aschidamini-leon/bb5e27ba781b5629b2cb9b4c18e8ead4/"
"Trends in Temperature-associated Mortality in São Paulo (Brazil) between 2000 and 2018: an Example of Disparities in Adaptation to Cold and Heat","Temperature-related mortality in So Paulo, Brazil, has increased from 2000 to 2018, with disparities in adaptation capacity between sexes, ages, and ethnicities.","Aina Roca-Barceló, D. Fecht, M. Pirani, F. Piel, A. Nardocci, P. Vineis",2022,8,"Exposure to non-optimal temperatures remains the single most deathful direct climate change impact to health. The risk varies based on the adaptation capacity of the exposed population which can be driven by climatic and/or non-climatic factors subject to fluctuations over time. We investigated temporal changes in the exposure–response relationship between daily mean temperature and mortality by cause of death, sex, age, and ethnicity in the megacity of São Paulo, Brazil (2000–2018). We fitted a quasi-Poisson regression model with time-varying distributed-lag non-linear model (tv-DLNM) to obtain annual estimates. We used two indicators of adaptation: trends in the annual minimum mortality temperature (MMT), i.e., temperature at which the mortality rate is the lowest, and in the cumulative relative risk (cRR) associated with extreme cold and heat. Finally, we evaluated their association with annual mean temperature and annual extreme cold and heat, respectively to assess the role of climatic and non-climatic drivers. In total, we investigated 4,471,000 deaths from non-external causes. We found significant temporal trends for both the MMT and cRR indicators. The former was decoupled from changes in AMT, whereas the latter showed some degree of alignment with extreme heat and cold, suggesting the role of both climatic and non-climatic adaptation drivers. Finally, changes in MMT and cRR varied substantially by sex, age, and ethnicity, exposing disparities in the adaptation capacity of these population groups. Our findings support the need for group-specific interventions and regular monitoring of the health risk to non-optimal temperatures to inform urban public health policies.","non-rct observational study","Journal of Urban Health : Bulletin of the New York Academy of Medicine","1","10.1007/s11524-022-00695-7","https://consensus.app/papers/trends-in-temperatureassociated-mortality-in-s%C3%A3o-paulo-roca-barcel%C3%B3-fecht/6442492c646559779f424ae82cb78b90/"
"Association of low and high ambient temperature with mortality for cardiorespiratory diseases in Brazil.","Low and high ambient temperatures in Brazil are associated with increased risk of respiratory and circulatory mortality, highlighting the need for targeted interventions to mitigate adverse effects on human health.","W. Réquia, B. Alahmad, Joel D. Schwartz, P. Koutrakis",2023,7,"","meta-analysis","Environmental research","1","10.1016/j.envres.2023.116532","https://consensus.app/papers/association-of-low-and-high-ambient-temperature-with-r%C3%A9quia-alahmad/378518aefa8d561c862447c7812b9df9/"
"Effects of heat waves on cardiovascular and respiratory mortality in Rio de Janeiro, Brazil","Heat waves in Rio de Janeiro, Brazil, increase the risk of cardiovascular and respiratory mortality, with greater effects on respiratory mortality than cardiovascular mortality, and women and the elderly being most vulnerable.","I. Silveira, T. Cortes, Morag Bell, W. Junger",2023,32,"Heat waves are becoming more intense and extreme as a consequence of global warming. Epidemiological evidence reveals the health impacts of heat waves in mortality and morbidity outcomes, however, few studies have been conducted in tropical regions, which are characterized by high population density, low income and low health resources, and susceptible to the impacts of extreme heat on health. The aim of this paper is to estimate the effects of heat waves on cardiovascular and respiratory mortality in the city of Rio de Janeiro, Brazil, according to sex, age, and heat wave intensity. We carried out a time-stratified case-crossover study stratified by sex, age (0-64 and 65 or above), and by sex for the older group. Our analyses were restricted to the hot season. We included 42,926 participants, 29,442 of whom died from cardiovascular and 13,484 from respiratory disease, between 2012 and 2017. The death data were obtained from Rio de Janeiro's Municipal Health Department. We estimated individual-level exposure using the inverse distance weighted (IDW) method, with temperature and humidity data from 13 and 12 stations, respectively. We used five definitions of heat waves, based on temperature thresholds (90th, 92.5th, 95th, 97.5th, and 99th of individual daily mean temperature in the hot season over the study period) and a duration of two or more days. Conditional logistic regression combined with distributed lag non-linear models (DLNM) were used to estimate the short-term and delayed effects of heat waves on mortality over a lag period (5 days for cardiovascular and 10 for respiratory mortality). The models were controlled for daily mean absolute humidity and public holidays. The odds ratios (OR) increase as heat waves intensify, although some effect estimates are not statistically significant at 95% level when we applied the most stringent heat wave criteria. Although not statistically different, our central estimates suggest that the effects were greater for respiratory than cardiovascular mortality. Results stratified by sex and age were also not statistically different, but suggest that older people and women were more vulnerable to the effects of heat waves, although for some heat wave definitions, the OR for respiratory mortality were higher among the younger group. The results also indicate that older women are the most vulnerable to heat wave-related cardiovascular mortality. Our results show an increase in the risk of cardiovascular and respiratory mortality on heat wave days compared to non-heat wave ones. These effects increase with heat wave intensity, and evidence suggests that they were greater for respiratory mortality than cardiovascular mortality. Furthermore, the results also suggest that women and the elderly constitute the groups most vulnerable to heat waves.","non-rct observational study","PLOS ONE","1","10.1371/journal.pone.0283899","https://consensus.app/papers/effects-of-heat-waves-on-cardiovascular-and-respiratory-silveira-cortes/57798b2dde3f5d47b7264310e67ddf5a/"
"Corrigendum to ""Impact of heat waves and cold spells on cause specific mortality in the city of São Paulo, Brazil"" [Int. J. Hyg. Environ. Health 239 (2022), 113861].","","Sara Lopes de Moraes, R. Almendra, L. Barrozo",2022,0,"","","International journal of hygiene and environmental health","1","10.1016/j.ijheh.2022.113952","https://consensus.app/papers/corrigendum-to-impact-of-heat-waves-and-cold-spells-on-cause-moraes-almendra/04e9d0a5ecfe5390b7d810f9d6fc4d5b/"
"Space-time clusters of cardiovascular mortality and the role of heatwaves and cold spells in the city of São Paulo, Brazil.","Extreme air temperature events, such as cold spells and heatwaves, significantly increase cardiovascular mortality in vulnerable groups, with higher-risk areas in peripheral areas.","Sara Lopes de Moraes, Ricardo Almendra, L. Barrozo",2023,2,"","non-rct observational study","Spatial and spatio-temporal epidemiology","1","10.1016/j.sste.2023.100620","https://consensus.app/papers/spacetime-clusters-of-cardiovascular-mortality-and-the-moraes-almendra/cae47ae8e17a5b99bdd12edf5b82c83e/"
"Heat waves and mortality in the Brazilian Amazon: Effect modification by heat wave characteristics, population subgroup, and cause of death.","Heat waves in the Brazilian Amazon increase the risk of mortality from non-external causes and cardiovascular diseases, with intensity playing a more important role than duration.","I. Silveira, S. Hartwig, Maurício do Nascimento Moura, T. Cortes, W. Junger, G. Cirino, E. Ignotti, Beatriz Fátima Alves de Oliveira",2023,24,"","meta-analysis","International journal of hygiene and environmental health","1","10.1016/j.ijheh.2022.114109","https://consensus.app/papers/heat-waves-and-mortality-in-the-brazilian-amazon-effect-silveira-hartwig/6d33cc6358ab522a89586c689c12127b/"
"Twenty-first-century demographic and social inequalities of heat-related deaths in Brazilian urban areas","Heat-related deaths in Brazilian urban areas have increased from 1970s to 2010s, with higher rates in certain regions and among low-educated, black, brown, older adults, and females.","Djacinto Monteiro dos Santos, R. Libonati, Beatriz N Garcia, J. L. Geirinhas, Barbara Bresani Salvi, Eliane Lima e Silva, J. A. Rodrigues, L. Peres, Ana Russo, Renata Gracie, Helen Gurgel, Ricardo M. Trigo",2024,27,"Population exposure to heat waves (HWs) is increasing worldwide due to climate change, significantly affecting society, including public health. Despite its significant vulnerabilities and limited adaptation resources to rising temperatures, South America, particularly Brazil, lacks research on the health impacts of temperature extremes, especially on the role played by socioeconomic factors in the risk of heat-related illness. Here, we present a comprehensive analysis of the effects of HWs on mortality rates in the 14 most populous urban areas, comprising approximately 35% of the country's population. Excess mortality during HWs was estimated through the observed-to-expected ratio (O/E) for total deaths during the events identified. Moreover, the interplay of intersectionality and vulnerability to heat considering demographics and socioeconomic heterogeneities, using gender, age, race, and educational level as proxies, as well as the leading causes of heat-related excess death, were assessed. A significant increase in the frequency was observed from the 1970s (0-3 HWs year-1) to the 2010s (3-11 HWs year-1), with higher tendencies in the northern, northeastern, and central-western regions. Over the 2000-2018 period, 48,075 (40,448-55,279) excessive deaths were attributed to the growing number of HWs (>20 times the number of landslides-related deaths for the same period). Nevertheless, our event-based surveillance analysis did not detect the HW-mortality nexus, reinforcing that extreme heat events are a neglected disaster in Brazil. Among the leading causes of death, diseases of the circulatory and respiratory systems and neoplasms were the most frequent. Critical regional differences were observed, which can be linked to the sharp North-South inequalities in terms of socioeconomic and health indicators, such as life expectancy. Higher heat-related excess mortality was observed for low-educational level people, blacks and browns, older adults, and females. Such findings highlight that the strengthening of primary health care combined with reducing socioeconomic, racial, and gender inequalities represents a crucial step to reducing heat-related deaths.","non-rct observational study","PLOS ONE","1","10.1371/journal.pone.0295766","https://consensus.app/papers/twentyfirstcentury-demographic-and-social-inequalities-santos-libonati/fd12acd56d3551ad9c149e3687538822/"
