region_code,exposure_type,analysis_type,total_deaths,mean_daily_deaths,std_deaths,temp_avg,temp_std,temp_min,temp_max,n_days
110004,immediate,dlnm_first_stage,25446,4.706121694100241,2.454093026114187,19.729979,2.1404896,8.506462,25.790968,5407
120002,immediate,dlnm_first_stage,4972,1.5440993788819877,0.8413693715881555,16.50597,1.5523443,10.699324,20.293821,3220
310053,immediate,dlnm_first_stage,22918,4.259059654339342,2.0885094933204815,18.935213,2.7428775,8.525265,26.313831,5381
410003,immediate,dlnm_first_stage,18631,3.5514677849790317,1.885249738714299,17.492596,3.8684876,2.0569756,25.46845,5246
410004,immediate,dlnm_first_stage,36876,6.742731760833791,2.8876494437648708,17.935158,3.7074883,1.6463181,26.408535,5469
410010,immediate,dlnm_first_stage,27176,5.016798966217464,2.4768302728549494,18.37694,3.9380324,2.118908,26.424414,5417
410029,immediate,dlnm_first_stage,16261,3.1531898390537134,1.7237997717409725,18.214993,3.7776682,2.8364415,26.413422,5157
420003,immediate,dlnm_first_stage,34174,6.258974358974359,2.7946711603296266,19.701845,2.5842872,12.683239,26.143026,5460
420005,immediate,dlnm_first_stage,33744,6.187018701870187,2.812211748958091,16.019691,4.1163554,0.91773325,25.365862,5454
420006,immediate,dlnm_first_stage,8183,1.9432438850629303,1.0999282300631228,16.699625,4.0636024,1.3137382,25.627478,4211
420008,immediate,dlnm_first_stage,17105,3.2932229495571814,1.7675652232309804,17.48563,4.165134,1.1239161,26.12684,5194
420014,immediate,dlnm_first_stage,9873,2.1775474194971327,1.2683312231503614,16.543728,3.9861417,0.7461113,24.823719,4534
420015,immediate,dlnm_first_stage,11898,2.4577566618467257,1.4122845946591283,17.377892,4.1359034,1.4470825,25.850739,4841
420017,immediate,dlnm_first_stage,25922,4.783539398412992,2.305845514191126,17.464684,3.932603,2.3933728,25.74357,5419
430039,immediate,dlnm_first_stage,11831,2.4678765123070505,1.3884228920031707,16.290724,4.31516,0.66796494,26.044449,4794
1201,intermediate,dlnm_first_stage,44638,8.151570489408327,3.560365188128682,17.535225,1.4595051,11.070336,21.22896,5476
4202,intermediate,dlnm_first_stage,93529,17.070450812192007,5.542210917993648,19.726353,2.6243577,12.43727,26.231268,5479
4203,intermediate,dlnm_first_stage,41927,7.6634984463535005,3.2039595201717015,16.145605,4.1018977,0.9910675,25.414309,5471
4205,intermediate,dlnm_first_stage,21771,4.081552305961755,2.120835215527298,16.914467,4.0467334,1.0711275,25.24218,5334
